Name,Index,ID,File
Rhaimundos of the Red Sword,0008,0008,token_sl.bmp 
Aqua Snake,0009,0009,token_sl.bmp 
Aqua Dragon,0010,0010,token_sl.bmp 
Unknown Warrior of Fiend,0013,0013,token_sl.bmp 
Beastly Mirror Ritual,0014,0014,token_sl.bmp 
Acid Crawler,0023,0023,token_sl.bmp 
Fiend Reflection #1,0025,0025,token_sl.bmp 
Arlownay,0029,0029,token_sl.bmp 
Gaia The Fierce Knight,0032,0032,token_sl.bmp 
Dark Titan of Terror,0036,0036,token_sl.bmp 
Zombie Warrior,0038,0038,token_sl.bmp 
Arma Knight,0039,0039,token_sl.bmp 
Swordsman from a Foreign Land,0044,0044,token_sl.bmp 
Invader from Another Dimension,0045,0045,token_sl.bmp 
Fairy of the Fountain,0047,0047,token_sl.bmp 
Living Vase,0055,0055,token_sl.bmp 
Hourglass of Life,0056,0056,token_sl.bmp 
That Which Feeds on Life,0057,0057,token_sl.bmp 
Obese Marmot of Nefariousness,0059,0059,token_sl.bmp 
Minomushi Warrior,0064,0064,token_sl.bmp 
Alinsection,0065,0065,token_sl.bmp 
Horn Imp,0067,0067,token_sl.bmp 
Wilmee,0070,0070,token_sl.bmp 
Wing Eagle,0071,0071,token_sl.bmp 
Wing Egg Elf,0072,0072,token_sl.bmp 
Wetha,0073,0073,token_sl.bmp 
Weather Control,0074,0074,token_sl.bmp 
Rock Ogre Grotto #2,0076,0076,token_sl.bmp 
Water Element,0077,0077,token_sl.bmp 
Water Girl,0078,0078,token_sl.bmp 
Beautiful Beast Trainer,0082,0082,token_sl.bmp 
Wood Clown,0083,0083,token_sl.bmp 
Amazon of the Seas,0085,0085,token_sl.bmp 
Guardian of the Sea,0087,0087,token_sl.bmp 
Waterdragon Fairy,0088,0088,token_sl.bmp 
Candle of Fate,0089,0089,token_sl.bmp 
Air Eater,0090,0090,token_sl.bmp 
Eternal Draught,0091,0091,token_sl.bmp 
Eldeen,0096,0096,token_sl.bmp 
Celtic Guardian,0098,0098,token_sl.bmp 
Fairywitch,0103,0103,token_sl.bmp 
Wolf,0115,0115,token_sl.bmp 
Ghoul with an Appetite,0116,0116,token_sl.bmp 
Kanan the Swordmistress,0125,0125,token_sl.bmp 
Tao the Chanter,0127,0127,token_sl.bmp 
Ryu-Kishin,0129,0129,token_sl.bmp 
Kaiser Dragon,0136,0136,token_sl.bmp 
Kamionwizard,0142,0142,token_sl.bmp 
Black Luster Soldier,0144,0144,token_sl.bmp 
Black Luster Ritual,0145,0145,token_sl.bmp 
Insect Armor with Laser Cannon,0148,0148,token_sl.bmp 
Invigoration,0149,0149,token_sl.bmp 
Akihiron,0150,0150,token_sl.bmp 
Restructer Revolution,0152,0152,token_sl.bmp 
Spirit of the Winds,0154,0154,token_sl.bmp 
Djinn the Watcher of the Wind,0156,0156,token_sl.bmp 
Yaiba Robo,0158,0158,token_sl.bmp 
Kanikabuto,0160,0160,token_sl.bmp 
Ganigumo,0161,0161,token_sl.bmp 
Kamakiriman,0162,0162,token_sl.bmp 
Breath of Light,0165,0165,token_sl.bmp 
Masked Clown,0170,0170,token_sl.bmp 
,0171,0171,token_sl.bmp 
Mechanical Spider,0175,0175,token_sl.bmp 
Crow Goblin,0176,0176,token_sl.bmp 
Garvas,0180,0180,token_sl.bmp 
Garma Sword,0182,0182,token_sl.bmp 
Garma Sword Oath,0183,0183,token_sl.bmp 
Boulder Tortoise,0185,0185,token_sl.bmp 
Rock Spirit,0187,0187,token_sl.bmp 
Barrel Rock,0189,0189,token_sl.bmp 
Key Mace,0190,0190,token_sl.bmp 
Giant Mech-Soldier,0193,0193,token_sl.bmp 
Cyber Soldier,0194,0194,token_sl.bmp 
Giganto,0196,0196,token_sl.bmp 
Mushroom Man,0200,0200,token_sl.bmp 
Gyakutenno Megami,0202,0202,token_sl.bmp 
Kattapillar,0203,0203,token_sl.bmp 
Nekogal #1,0204,0204,token_sl.bmp 
Nekogal #2,0205,0205,token_sl.bmp 
Anthrosaurus,0214,0214,token_sl.bmp 
Monstrous Bird,0217,0217,token_sl.bmp 
Gruesome Goo,0224,0224,token_sl.bmp 
Saber Slasher,0225,0225,token_sl.bmp 
Great Mammoth of Goldfine,0227,0227,token_sl.bmp 
Beaked Snake,0238,0238,token_sl.bmp 
Togex,0242,0242,token_sl.bmp 
Grappler,0243,0243,token_sl.bmp 
Griffore,0249,0249,token_sl.bmp 
Crazy Fish,0252,0252,token_sl.bmp 
Great Bill,0253,0253,token_sl.bmp 
Ogre of the Black Shadow,0259,0259,token_sl.bmp 
Man-eating Black Shark,0260,0260,token_sl.bmp 
Krokodilus,0262,0262,token_sl.bmp 
Twin Long Rods #1,0263,0263,token_sl.bmp 
Curtain of the Dark Ones,0266,0266,token_sl.bmp 
Gatekeeper,0270,0270,token_sl.bmp 
Gale Dogra,0271,0271,token_sl.bmp 
Crimson Sunbird,0288,0288,token_sl.bmp 
Gorgon Egg,0292,0292,token_sl.bmp 
Phantom Ghost,0293,0293,token_sl.bmp 
Ice Water,0295,0295,token_sl.bmp 
Gokibore,0297,0297,token_sl.bmp 
Dark Sage,0298,0298,token_sl.bmp 
Ancient Telescope,0302,0302,token_sl.bmp 
Ancient Sorcerer,0304,0304,token_sl.bmp 
Eyearmor,0306,0306,token_sl.bmp 
Cyber Commander,0310,0310,token_sl.bmp 
Golgoil,0311,0311,token_sl.bmp 
Korogashi,0312,0312,token_sl.bmp 
Torike,0313,0313,token_sl.bmp 
Cyber Shield,0321,0321,token_sl.bmp 
Mech Bass,0324,0324,token_sl.bmp 
Thousand Dragon,0328,0328,token_sl.bmp 
Phantom Dewan,0333,0333,token_sl.bmp 
Ancient Tree of Enlightenment,0335,0335,token_sl.bmp 
Lisark,0338,0338,token_sl.bmp 
The Wandering Doomed,0339,0339,token_sl.bmp 
Zarigun,0341,0341,token_sl.bmp 
Kaminarikozou,0343,0343,token_sl.bmp 
Mystical Sand,0346,0346,token_sl.bmp 
Stain Storm,0348,0348,token_sl.bmp 
"30,000-Year White Turtle",0349,0349,token_sl.bmp 
Sea Kamen,0350,0350,token_sl.bmp 
Sea King Dragon,0351,0351,token_sl.bmp 
Tatsunootoshigo,0353,0353,token_sl.bmp 
Just Desserts,0356,0356,token_sl.bmp 
Fiend's Hand,0360,0360,token_sl.bmp 
,0365,0365,token_sl.bmp 
Dokuroizo the Grim Reaper,0366,0366,token_sl.bmp 
Bright Castle,0386,0386,token_sl.bmp 
Wings of Wicked Flame,0388,0388,token_sl.bmp 
Genin,0391,0391,token_sl.bmp 
Kageningen,0396,0396,token_sl.bmp 
Javelin Beetle,0397,0397,token_sl.bmp 
Javelin Beetle Pact,0398,0398,token_sl.bmp 
Shovel Crusher,0399,0399,token_sl.bmp 
Abyss Flower,0420,0420,token_sl.bmp 
Emperor of the Land and Sea,0431,0431,token_sl.bmp 
Amphibious Bugroth,0432,0432,token_sl.bmp 
Super War-Lion,0433,0433,token_sl.bmp 
Skelgon,0441,0441,token_sl.bmp 
Violent Rain,0442,0442,token_sl.bmp 
Vermillion Sparrow,0443,0443,token_sl.bmp 
Stone Armadiller,0446,0446,token_sl.bmp 
Stone Ghost,0447,0447,token_sl.bmp 
Stone D.,0449,0449,token_sl.bmp 
Snakeyashi,0450,0450,token_sl.bmp 
Droll Bird,0454,0454,token_sl.bmp 
Mystical Capture Chain,0466,0466,token_sl.bmp 
Mystical Refpanel,0468,0468,token_sl.bmp 
Ill Witch,0469,0469,token_sl.bmp 
Lord of Zemia,0477,0477,token_sl.bmp 
Zera The Mant,0478,0478,token_sl.bmp 
Zera Ritual,0479,0479,token_sl.bmp 
Warrior Elimination,0484,0484,token_sl.bmp 
Sengenjin,0487,0487,token_sl.bmp 
Millennium Golem,0488,0488,token_sl.bmp 
Soul Hunter,0493,0493,token_sl.bmp 
Sword Arm of Dragon,0494,0494,token_sl.bmp 
Zone Eater,0496,0496,token_sl.bmp 
Solitude,0500,0500,token_sl.bmp 
Mech Mole Zombie,0502,0502,token_sl.bmp 
Dark Artist,0503,0503,token_sl.bmp 
Dark Chimera,0506,0506,token_sl.bmp 
Winged Cleaver,0507,0507,token_sl.bmp 
Dark Shade,0509,0509,token_sl.bmp 
Dark Plant,0517,0517,token_sl.bmp 
Dark Prisoner,0518,0518,token_sl.bmp 
Dark Rabbit,0519,0519,token_sl.bmp 
Turtle Raccoon,0521,0521,token_sl.bmp 
Tiger Axe,0526,0526,token_sl.bmp 
Ancient Jar,0528,0528,token_sl.bmp 
Dice Armadillo,0529,0529,token_sl.bmp 
Orion the Battle King,0536,0536,token_sl.bmp 
One Who Hunts Souls,0540,0540,token_sl.bmp 
Winged Egg of New Life,0544,0544,token_sl.bmp 
Dungeon Worm,0545,0545,token_sl.bmp 
Change Slime,0551,0551,token_sl.bmp 
Chakra,0555,0555,token_sl.bmp 
Resurrection of Chakra,0556,0556,token_sl.bmp 
Ookazi,0557,0557,token_sl.bmp 
